setCount,objectCount,sensitivity,useClustering,useType,useId,runtime,confidence
200,6,0.25,1,1,0,8.055,0.988333
200,6,0.25,1,0,1,474.575,0.988333
200,6,0.25,1,1,1,8.06,0.988333
200,6,0.5,1,0,0,823.865,0.988333
200,6,0.5,1,1,0,8.035,0.988333
200,6,0.5,1,0,1,417.895,0.988333
200,6,0.5,1,1,1,8.08,0.988333
200,6,1,1,0,0,840.87,0.978333
200,6,1,1,1,0,8.02,0.968333
200,6,1,1,0,1,388.07,0.978333
200,6,1,1,1,1,8.235,0.968333
200,5,0.015625,1,0,0,93.235,0.971
200,5,0.015625,1,1,0,8.97,0.887
200,5,0.015625,1,0,1,46.795,0.974
200,5,0.015625,1,1,1,9.02,0.887
200,5,0.03125,1,0,0,142.94,0.929
200,5,0.03125,1,1,0,5.96,0.798
200,5,0.03125,1,0,1,33.85,0.945
200,5,0.03125,1,1,1,5.98,0.798
200,5,0.0625,1,0,0,159.835,0.987
200,5,0.0625,1,1,0,4.095,0.987
200,5,0.0625,1,0,1,27.485,0.987
200,5,0.0625,1,1,1,4.08,0.987
200,5,0.125,1,0,0,171.53,0.987
200,5,0.125,1,1,0,4.37,0.987
200,5,0.125,1,0,1,67.25,0.987
200,5,0.125,1,1,1,4.075,0.987
200,5,0.25,1,0,0,442.16,0.987
200,5,0.25,1,1,0,4.095,0.987
200,5,0.25,1,0,1,109.44,0.987
200,5,0.25,1,1,1,4.085,0.987
200,5,0.5,1,0,0,540,0.968
200,5,0.5,1,1,0,4.115,0.987
200,5,0.5,1,0,1,181.525,0.987
200,5,0.5,1,1,1,4.06,0.987
200,5,1,1,0,0,693.95,0.987
200,5,1,1,1,0,4.375,0.987
200,5,1,1,0,1,244.12,0.402
200,5,1,1,1,1,4.455,0.987
200,4,0.015625,1,0,0,34.12,0.985
200,4,0.015625,1,1,0,4.99,0.985
200,4,0.015625,1,0,1,18.155,0.985
200,4,0.015625,1,1,1,4.985,0.985
200,4,0.03125,1,0,0,46.045,0.985
200,4,0.03125,1,1,0,4.875,0.985
200,4,0.03125,1,0,1,15.405,0.985
200,4,0.03125,1,1,1,4.865,0.985
200,4,0.0625,1,0,0,132.83,0.985
200,4,0.0625,1,1,0,3.93,0.985
200,4,0.0625,1,0,1,12.86,0.985
200,4,0.0625,1,1,1,3.93,0.985
200,4,0.125,1,0,0,142.545,0.985
200,4,0.125,1,1,0,3.93,0.985
200,4,0.125,1,0,1,11.85,0.985
200,4,0.125,1,1,1,3.93,0.985
200,4,0.25,1,0,0,437.64,0.985
200,4,0.25,1,1,0,3.93,0.985
200,4,0.25,1,0,1,20.985,0.985
200,4,0.25,1,1,1,3.93,0.985
200,4,0.5,1,0,0,255.205,0.7625
200,4,0.5,1,1,0,3.93,0.985
200,4,0.5,1,0,1,40.705,0.98
200,4,0.5,1,1,1,3.93,0.985
200,4,1,1,0,0,138.535,0.73875
200,4,1,1,1,0,3.93,0.985
200,4,1,1,0,1,168.225,0.24875
200,4,1,1,1,1,3.93,0.985
200,3,0.015625,1,0,0,6.88,0.985
200,3,0.015625,1,1,0,1.98,0.985
200,3,0.015625,1,0,1,4.925,0.985
200,3,0.015625,1,1,1,1.98,0.985
200,3,0.03125,1,0,0,6.905,0.985
200,3,0.03125,1,1,0,1.98,0.985
200,3,0.03125,1,0,1,4.935,0.985
200,3,0.03125,1,1,1,1.98,0.985
200,3,0.0625,1,0,0,5.91,0.985
200,3,0.0625,1,1,0,1.01,0.985
200,3,0.0625,1,0,1,3.95,0.985
200,3,0.0625,1,1,1,1.035,0.985
200,3,0.125,1,0,0,7.615,0.985
200,3,0.125,1,1,0,1.04,0.985
200,3,0.125,1,0,1,5.635,0.985
200,3,0.125,1,1,1,1.05,0.985
200,3,0.25,1,0,0,9.59,0.985
200,3,0.25,1,1,0,1.045,0.985
200,3,0.25,1,0,1,7.64,0.985
200,3,0.25,1,1,1,1.005,0.985
200,3,0.5,1,0,0,67.41,0.985
200,3,0.5,1,1,0,1.08,0.985
200,3,0.5,1,0,1,68.415,0.985
200,3,0.5,1,1,1,1.125,0.985
200,3,1,1,0,0,68.29,0.985
200,3,1,1,1,0,1.035,0.985
200,3,1,1,0,1,67.295,0.985
200,3,1,1,1,1,1.015,0.985
200,2,0.015625,1,0,0,0.985,0.99
200,2,0.015625,1,1,0,0.005,0.99
200,2,0.015625,1,0,1,0.985,0.99
200,2,0.015625,1,1,1,0,0.99
